59940.936089	2260811765.189	   0.157	8049
59940.936204	2260811753.489	   1.562	8049
59940.936320	2260811737.489	   1.357	8049
59940.936436	2260811716.789	   1.512	8049
59940.936552	2260811695.689	   1.188	8049
59940.936667	2260811673.389	   1.398	8049
59940.936783	2260811647.289	   0.971	8049
59940.936899	2260811623.589	   1.040	8049
59940.937015	2260811595.089	   1.348	8049
59940.937130	2260811576.289	   1.170	8049
59940.937246	2260811550.989	   0.910	8049
59940.937362	2260811528.588	   1.090	8049
59940.937478	2260811502.988	   0.763	8049
59940.937593	2260811472.588	   0.706	8049
59940.937709	2260811444.188	   0.824	8049
59940.937825	2260811415.188	   0.609	8049
59940.937941	2260811380.188	   0.594	8049
59940.938056	2260811347.388	   0.540	8049
59940.938172	2260811311.988	   0.636	8049
59940.938288	2260811280.888	   0.581	8049
59940.938404	2260811250.388	   0.573	8049
59940.938519	2260811221.387	   0.507	8049
59940.938635	2260811185.487	   0.769	8049
59940.938751	2260811148.487	   0.750	8049
59940.938867	2260811107.987	   0.649	8049
59940.938983	2260811070.987	   0.627	8049
59940.939098	2260811030.387	   0.694	8049
59940.939214	2260810986.987	   0.627	8049
59940.939330	2260810941.786	   0.599	8049
59940.939445	2260810907.786	   0.766	8049
59940.939561	2260810868.286	   0.666	8049
59940.939677	2260810825.286	   0.651	8049
59940.939793	2260810783.186	   0.592	8049
59940.939908	2260810741.086	   0.544	8049
59940.940024	2260810693.686	   0.539	8049
59940.940140	2260810646.785	   0.601	8049
59940.940256	2260810600.585	   0.630	8049
59940.940371	2260810545.285	   0.560	8049
59940.940487	2260810500.085	   0.521	8049
59940.940603	2260810449.985	   0.509	8049
59940.940719	2260810403.585	   0.495	8049
59940.940834	2260810359.485	   0.502	8049
59940.940950	2260810307.284	   0.473	8049
59940.941066	2260810255.284	   0.427	8049
59940.941182	2260810199.484	   0.386	8049
59940.941297	2260810149.784	   0.420	8049
59940.941413	2260810094.684	   0.368	8049
59940.941528	2260810033.683	   0.397	8049
59940.941644	2260809980.083	   0.391	8049
59940.941760	2260809917.783	   0.384	8049
59940.941876	2260809869.283	   0.349	8049
59940.941992	2260809812.983	   0.342	8049
59940.942107	2260809752.083	   0.341	8049
59940.942223	2260809697.382	   0.339	8049
59940.942339	2260809633.682	   0.340	8049
59940.942454	2260809576.882	   0.317	8049
59940.942570	2260809515.582	   0.319	8049
59940.942686	2260809445.481	   0.310	8049
59940.942802	2260809388.481	   0.393	8049
59940.942917	2260809316.881	   0.400	8049
59940.943033	2260809250.181	   0.460	8049
59940.943149	2260809185.481	   0.454	8049
59940.943265	2260809126.280	   0.464	8049
59940.943380	2260809064.680	   0.459	8049
59940.943496	2260808994.980	   0.420	8049
59940.943612	2260808931.180	   0.424	8049
59940.943728	2260808864.480	   0.447	8049
59940.943844	2260808794.679	   0.466	8049
59940.943959	2260808723.379	   0.422	8049
59940.944075	2260808654.679	   0.416	8049
59940.944190	2260808583.379	   0.469	8049
59940.944306	2260808502.378	   0.465	8049
59940.944422	2260808428.678	   0.477	8049
59940.944538	2260808365.378	   0.452	8049
59940.944654	2260808293.378	   0.525	8049
59940.944770	2260808221.377	   0.436	8049
59940.944885	2260808151.777	   0.450	8049
59940.945001	2260808076.677	   0.402	8049
59940.945117	2260807990.177	   0.447	8049
59940.945232	2260807917.276	   0.427	8049
59940.945348	2260807845.876	   0.424	8049
59940.945464	2260807762.676	   0.362	8049
59940.945579	2260807681.676	   0.409	8049
59940.945695	2260807599.875	   0.378	8049
59940.945811	2260807521.775	   0.427	8049
59940.945927	2260807447.075	   0.368	8049
59940.946042	2260807368.675	   0.394	8049
59940.946158	2260807287.774	   0.385	8049
59940.946274	2260807211.274	   0.376	8049
59940.946390	2260807125.574	   0.355	8049
59940.946505	2260807048.673	   0.341	8049
59940.946621	2260806968.173	   0.290	8049
59940.946737	2260806884.073	   0.377	8049
59940.946852	2260806795.173	   0.311	8049
59940.946968	2260806713.872	   0.298	8049
59940.947084	2260806622.372	   0.330	8049
59940.947200	2260806532.572	   0.309	8049
59940.947316	2260806449.571	   0.315	8049
59940.947431	2260806372.171	   0.289	8049
59940.947547	2260806279.571	   0.285	8049
59940.947663	2260806198.271	   0.286	8049
59940.947779	2260806114.070	   0.293	8049
59940.947894	2260806024.470	   0.236	8049
59940.948010	2260805933.570	   0.227	8049
59940.948126	2260805841.269	   0.217	8049
59940.948242	2260805753.869	   0.214	8049
59940.948357	2260805664.769	   0.207	8049
59940.948473	2260805577.469	   0.118	8049
59940.948589	2260805477.468	   0.114	8049
59940.948705	2260805385.168	   0.100	8049
59940.948820	2260805294.768	   0.109	8049
59940.948936	2260805207.167	   0.100	8049
59940.949052	2260805117.667	   0.103	8049
59940.949167	2260805022.067	   0.101	8049
59940.949283	2260804929.366	   0.095	8049
59940.949399	2260804845.966	   0.081	8049
59940.949514	2260804746.866	   0.084	8049
59940.949630	2260804663.166	   0.078	8049
59940.949746	2260804556.065	   0.078	8049
59940.949862	2260804464.465	   0.098	8049
59940.949978	2260804363.465	   0.086	8049
59940.950093	2260804278.264	   0.088	8049
59940.950209	2260804181.364	   0.084	8049
59940.950325	2260804079.564	   0.078	8049
59940.950440	2260803981.463	   0.080	8049
59940.950556	2260803883.463	   0.083	8049
59940.950672	2260803785.163	   0.082	8049
59940.950788	2260803694.762	   0.087	8049
59940.950904	2260803598.562	   0.082	8049
59940.951019	2260803502.562	   0.078	8049
59940.951135	2260803410.061	   0.076	8049
59940.951251	2260803310.561	   0.238	8049
59940.951366	2260803213.661	   0.234	8049
